Treatment	HFD_control	LFD_control	LFD_control	FVT_SDT	FVT_ChP	FVT_UnT	FVT_PyT	FVT_SDT	LFD_control	FVT_SDT	FVT_ChP	FVT_ChP	FVT_PyT	HFD_control	HFD_control	LFD_control	FVT_SDT	FVT_ChP	FVT_ChP	FVT_UnT	FVT_UnT	HFD_control	LFD_control	FVT_PyT	FVT_PyT	FVT_SDT	FVT_ChP	FVT_ChP	FVT_UnT	FVT_SDT	LFD_control	FVT_PyT	FVT_ChP	FVT_UnT	FVT_SDT	FVT_PyT	HFD_control	HFD_control	HFD_control	LFD_control	FVT_PyT	LFD_control	FVT_UnT	HFD_control	FVT_UnT	FVT_UnT	FVT_PyT
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae	0.018358253	0.011314721	0.008488036	0.028764097	0.015187759	0.008505335	0.065744524	0.011501487	0.015042689	0.018865026	0.005972378	0.003140397	0.014819904	0.009718054	0.01406898	0.00463268	0.010216164	0.016294554	0.006227204	0.012887134	0.018218274	0.010526804	0.008719019	0.017291981	0.038323476	0.013991517	0.005447774	0.007858954	0.012950787	0.008904375	0.003542942	0.014685435	0.010033967	0.119093458	0.02334375	0.00834753	0.016414384	0.010465914	0.010082258	0.003336503	0.032054899	0.006118299	0.06150871	0.02131355	0.008335568	0.051966193	0.029192383
Bacteria|Proteobacteria|Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia	9.90197E-05	0	0	0	0	0	5.02378E-05	0	3.38799E-05	0	0	2.70724E-05	0	1.74471E-05	3.49975E-05	0	3.03601E-05	0	0.000148267	0	0	2.31868E-05	2.30662E-05	3.96605E-05	0	7.6771E-05	0	0	0	0	0	3.80945E-05	0	1.68879E-05	0.00003125	3.09741E-05	5.2498E-05	1.90636E-05	8.00179E-05	0	0	0	0	3.87402E-05	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Tenericutes|Mollicutes|Anaeroplasmatales|Anaeroplasmataceae|Anaeroplasma	0	0	6.83142E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000015625	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Macrococcus|caseolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Adlercreutzia	0.011446678	0.006395277	0.003176609	0.007882804	0.00411968	0.012768935	0.006648135	0.013020551	0.005556308	0.010231358	0.008608623	0.002436515	0.015389145	0.009909973	0.005774581	0.003421383	0.005206752	0.008953469	0.006672004	0.009076422	0.016407227	0.007118345	0.004347977	0.008011422	0.016255855	0.011899507	0.010673189	0.009472229	0.007371986	0.007390983	0.006081734	0.015123521	0.010463437	0.009913196	0.01440625	0.013582159	0.009099659	0.006805704	0.012450789	0.004029593	0.013469975	0.00255529	0.002958537	0.008639058	0.014648176	0.008734705	0.013614311
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Catenibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea	0.001049609	0.002152257	0.0046966	0.004673875	0.005277746	0.003563932	0.004722352	0.004578894	0.015855807	0.004946692	0.000746547	0.004521089	0.001334773	0.00249494	0.005494602	0.006077736	0.007681098	0.003964566	0.001749548	0.00734428	0.001724807	0.010619551	0.00402505	0.005076545	0.004512666	0.003281961	0.005281005	0.001682415	0.000763764	0.000791891	0.006593282	0.004190396	0.003670011	0.002938494	0.002859375	0.00692272	0.000839969	0.00625286	0.003024678	0.007623991	0.004896518	0.004894639	0.006292303	0.004074175	0.00275415	0.001379164	0.003927522
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|equorum	0.000217843	2.04977E-05	8.53927E-05	0	0	0	3.34919E-05	0	0	0	0	2.70724E-05	1.9629E-05	3.48943E-05	1.74987E-05	2.12508E-05	0	1.89692E-05	0	0	4.31202E-05	0	2.30662E-05	0	0.000273495	5.75783E-05	2.77948E-05	6.91404E-05	0	0	1.89462E-05	3.80945E-05	0	0	0	1.54871E-05	3.49987E-05	0.000114382	0	0	0.000109216	1.7995E-05	0	1.29134E-05	0	0.000141453	4.95066E-05
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned	1.98039E-05	4.09954E-05	8.53927E-05	0.000232531	5.69541E-05	2.18646E-05	5.02378E-05	6.51028E-05	6.77599E-05	0	2.33296E-05	2.70724E-05	1.9629E-05	8.72357E-05	1.74987E-05	0.000127505	0	5.69076E-05	2.96534E-05	2.30952E-05	0	0	6.91986E-05	7.9321E-05	1.70934E-05	1.91928E-05	5.55895E-05	2.30468E-05	0.000166036	1.75976E-05	5.68386E-05	0	1.95213E-05	0	0.000015625	6.19483E-05	1.74993E-05	9.5318E-05	0.000368082	4.83551E-05	0	0.00010797	0.000865913	4.51969E-05	7.3119E-05	1.76816E-05	3.30044E-05
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Bilophila	0.008218636	0.006866724	0.003039981	0.00695268	0.000664464	0.028555186	0.012391989	0.004600595	0.006166147	0.004885243	0.001796379	0.002950891	0.002276965	0.004152418	0.004899645	0.002295089	0.014254053	0.007625624	0.001630934	0.008614518	0.013604416	0.017923391	0.007311982	0.010034108	0.01259786	0.004011285	0.013925176	0.002212491	0.004449758	0.001847746	0.006157519	0.012171197	0.002889158	0.010723815	0.003734375	0.008533375	0.002852393	0.005204362	0.008241846	0.008043068	0.008154795	0.003922909	0.024476483	0.012680949	0.005752029	0.00655987	0.010891449
