Treatment	HFD_control	LFD_control	LFD_control	FVT_SDT	FVT_ChP	FVT_UnT	FVT_PyT	FVT_SDT	LFD_control	FVT_SDT	FVT_ChP	FVT_ChP	FVT_PyT	HFD_control	HFD_control	LFD_control	FVT_SDT	FVT_ChP	FVT_ChP	FVT_UnT	FVT_UnT	HFD_control	LFD_control	FVT_PyT	FVT_PyT	FVT_SDT	FVT_ChP	FVT_ChP	FVT_UnT	FVT_SDT	LFD_control	FVT_PyT	FVT_ChP	FVT_UnT	FVT_SDT	FVT_PyT	HFD_control	HFD_control	HFD_control	LFD_control	FVT_PyT	LFD_control	FVT_UnT	HFD_control	FVT_UnT	FVT_UnT	FVT_PyT
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|aureus	0.006000594	0.001086377	0.001332126	0.000255784	0.000113908	0.000437292	0.001808561	0.000130206	0.000304919	9.21744E-05	0.000443262	0.000270724	0.001668466	0.001535348	0.000734947	0.002337591	0.000455401	0.000663922	0.000415147	0.000600476	0.000819283	0.001414394	0.001257107	0.000872531	0.007213429	0.003301153	0.000722664	0.002419912	0.00023245	0.000193573	0.000492602	0.001104741	0.000937024	0.000827507	0.00040625	0.000975685	0.001294951	0.005814397	0.000832186	0.001176641	0.0027304	0.00140361	0.000115455	0.000832914	0.000584952	0.007090318	0.003514967
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae|Akkermansia|muciniphila	0.017051193	0.087566105	0.059621198	0.003976282	0.014827049	0.000240511	0.038649608	0.016991819	0.05271717	0.040679633	0.009798432	0.045346256	0.007400137	0.007816317	0.054421054	0.034086321	0.017624021	0.003414458	0.056371023	0.023995935	0.002781251	0.000533296	0.052775439	0.031768065	0.017589142	0.038155193	0.011840569	0.052454483	0.023411038	0.008376447	0.065819139	0.01097122	0.010307266	0.065845915	0.026703125	0.034675546	0.020456733	0.007377612	0.025013603	0.126658178	0.010921601	0.067463245	0.116725116	0.044693242	0.013673256	0.025850484	0.075679065
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|02d06	0	0	1.70785E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|caccae	0	0	0	0	0	0	0	0	0	0	0	0	0.000687015	0	0	0	0	0	0	2.30952E-05	0	0	2.30662E-05	0.000198303	1.70934E-05	0	0	0	0	0	0	7.6189E-05	0	3.37758E-05	0	4.64612E-05	0	0	0	1.61184E-05	0	0	0.000129887	0	4.8746E-05	0.000512766	0.000957127
Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.27927E-05	0	0	0	0	0	0	1.74993E-05	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Cellulomonadaceae|Cellulomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micrococcaceae|Nesterenkonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Tenericutes|Mollicutes|RF39	0.003703337	0.000942893	0.001673697	0.000465062	0.001082128	0.004635298	0.000133967	0.000651028	0.000406559	0.000337973	0.00058324	0.001326547	9.81451E-05	0.000209366	0.001137418	8.50033E-05	0.00018216	0.000948461	0.002342615	9.23809E-05	0.000129361	9.27472E-05	0.000876515	0.000515587	0.000358962	0.00055659	0.000166769	0.000553123	3.32071E-05	0.000246366	0.000928364	5.71418E-05	0.000429469	6.75516E-05	0.001703125	0.000216819	0.002064923	0.000838798	0.000720161	0.000451314	0.000127419	0.000449875	8.65913E-05	0.000348662	0.000389968	0.000459721	0.001039638
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Bulleidia|p-1630-c5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|pseudolongum	0	0.006292789	0.002186054	0	0	0	0	0	0.001287437	0	0	0	0	0	0	0.00078628	0	0	0	0	0	0	2.30662E-05	0	0	0	0	0	0	0	0.001117826	0	0	0	0	0	0	0	0	0.000870392	0	0.003832934	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Dehalobacteriaceae	0.001247648	0.000655926	0.00163954	0.001255668	0.000949235	0.001049501	0.001858798	0.000998242	0.001897276	0.00153624	0.00118981	0.001380692	0.000529983	0.001325982	0.001312405	0.002443845	0.002110025	0.000834645	0.000504107	0.000993095	0.000840843	0.002828789	0.003079336	0.001427778	0.001333288	0.001573806	0.001417533	0.000322655	0.000963007	0.000263964	0.000890472	0.002209482	0.000624683	0.001671902	0.0013125	0.000913737	0.000594978	0.001372579	0.00147233	0.001305588	0.000855525	0.00136762	0.003102856	0.001840158	0.000584952	0.001060895	0.001287171
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae	0.02075453	0.079899971	0.11449456	0.016532961	0.009112655	0.049195382	0.031381874	0.041210043	0.125389619	0.023350846	0.014534341	0.023336402	0.003886544	0.011898946	0.027385515	0.044987993	0.012159208	0.026594837	0.034694422	0.010346659	0.020331163	0.071368948	0.114788887	0.0109463	0.015845612	0.016889622	0.020178998	0.017400323	0.051570698	0.011508816	0.132661374	0.041561113	0.013411158	0.006248522	0.024390625	0.024903206	0.028103946	0.029338874	0.018804212	0.040634419	0.027922893	0.121250292	0.008933339	0.078984749	0.034780277	0.018936983	0.086999571
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae	0.000712942	0.000245972	0.000222021	0.002185792	0.000493602	0.000393563	0.000887534	0.000781233	0.000677599	0.000675946	0.000279955	0.000649737	0.000157032	0.000331496	0.001609883	0.000680026	0.005252292	0.000379384	0.000326187	0.000600476	0.000150921	0.00180857	0.001395504	0.000951852	0.000581177	0.000844481	0.002223581	9.21871E-05	0.000365279	0.000175976	0.000170516	0.002095198	0.000273299	0.000810619	0.0006875	0.000573022	0.000174993	0.001410706	0.000944212	0.000451314	0.000509675	0.00028792	0.002424557	0.001213859	0.000755563	0.001184667	0.000495066
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae	0.000574314	0.00026647	0.000751456	0.001743983	0.001879485	0.000240511	0.000267935	0.000759532	0.001761756	0.000737395	0.000116648	0.000595593	9.81451E-05	0.000314048	0.000454967	0.001593812	0.001457283	0.00072083	0.000296534	0.001154761	0.000927084	0.000811538	0.001176376	0.000912192	0.000769204	0.000921252	0.000528101	0.000230468	0.000132829	0.000175976	0.000890472	0.00118093	0.000995588	0.001148377	0.000359375	0.000665944	0.000332488	0.001868232	0.000560125	0.000612498	0.000709904	0.00068381	0.000519548	0.000568189	0.00048746	0.000229861	0.000363048
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae	0.00934746	0.064998155	0.03859751	0.000255784	0.009606257	0.000327969	0.000150713	0.012195916	0.017888603	0.015731097	0.042763158	0.080242569	0.025203651	0.064990579	0.00124241	0.082601951	0.000379501	0.004249104	0.022002787	0.000138571	0.000194041	0.001715823	0.00626247	0.000237963	0.000393149	0.002936491	0.000500306	0.004355842	0.08796573	0.070460705	0.021541843	0.005657035	0.006520126	0.001148377	0.024109375	0.007898405	0.05974276	0.001601342	0.002224498	0.10007898	0.000309445	0.036673805	0.000288638	0.005442994	0.030978089	0.000689582	0.000330044
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|uniformis	0.000178235	0.000717419	0.000375728	9.30124E-05	0	0.001661711	0.001406658	8.68037E-05	0.000338799	0.000307248	0.000139978	0.000162434	7.8516E-05	3.48943E-05	0.000787443	8.50033E-05	0.00012144	9.48461E-05	0.000148267	0.000346428	0.000819283	0.000486923	0.001026445	0.000237963	0.000170934	3.83855E-05	0.000194563	9.21871E-05	0.000166036	0.000175976	0.00054944	0.000247614	0	1.68879E-05	0.00003125	3.09741E-05	0.000122495	5.71908E-05	0.000144032	0.000644735	0.00027304	0.000197945	0.002496717	0.000290551	0.000146238	0.000123771	0.000511568
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae	0.001049609	0.00079941	0.000444042	0.001302174	0.000474617	0.001333741	0.001322929	0.000607626	0.001422957	0.001321166	0.001073162	0.000270724	0.003631367	0.002198339	0.000402471	0.002805109	0.000683102	0.000910522	0.000830294	0.001270237	0.00232849	0.000602857	0.001210975	0.001388118	0.001504222	0.00209201	0.00122297	0.001060152	0.000597729	0.000756696	0.000378924	0.002590427	0.000644204	0.000658628	0.00140625	0.001750039	0.000734972	0.000610035	0.001552348	0.002917426	0.000655296	0.00017995	0.00053398	0.001194489	0.000536206	0.001078577	0.00052807
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium	0.001128825	0.011376214	0.006865575	0	0.001158067	4.37292E-05	8.37297E-05	0.001974784	0.003557393	0.002273635	0.007535461	0.013536196	9.81451E-05	0.004937539	3.49975E-05	0.016044372	0	0.000360415	0.001304748	4.61904E-05	0	0.000208681	0.00130324	0	6.83737E-05	0.00021112	2.77948E-05	0.000437889	0.007106329	0.010276986	0.003618726	0.001047599	0.001093195	3.37758E-05	0.0018125	9.29224E-05	0.006649751	0.000190636	0.000144032	0.017359488	1.82027E-05	0.005596444	0	0.000355118	0.002949134	7.07264E-05	6.60088E-05
Bacteria|Firmicutes|Clostridia|Clostridiales|Mogibacteriaceae	0.000237647	8.19907E-05	0.000324492	0.000139519	0.000170862	4.37292E-05	0.000100476	0.00023871	0.000406559	0.000215074	6.99888E-05	0.00010829	3.9258E-05	8.72357E-05	0.000524962	0.00025501	0.00012144	0.000569076	5.93067E-05	0.000115476	0.000172481	0.000278242	0.000726585	0.000118982	0.000102561	0.000249506	0.000333537	4.60936E-05	6.64143E-05	3.51952E-05	0.000378924	0.000228567	0.000175692	0.000557301	0.000203125	0.000154871	0.000209992	0.000362208	0.000416093	0.000435196	5.4608E-05	0.000341905	0.00023091	0.000419685	0.000219357	0.000141453	0.000115515
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Collinsella|aerofaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000015625	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Citrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Dietziaceae|Dietzia	0.000712942	0.000450949	0.000358649	0.000860365	0.000816342	0.000721532	0.000401902	0.000412317	0.00023716	0.000215074	0.000419933	0.000406086	0.000372951	0.001186405	0.000454967	0.000297512	0.000759002	0.000531138	0.000148267	0.001431904	0.000862404	0.000370989	0.000369059	0.00079321	0.001452942	0.000383855	0.000416921	0.001244526	0.00023245	8.79879E-05	0.000284193	0.001371402	0.000448991	0.000945722	0.00046875	0.000619483	0.00054248	0.000495654	0.002496559	0.000757564	0.001656443	3.599E-05	0.001472053	0.000322835	0.000219357	0.00044204	0.000511568
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Clostridium|metallolevans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|TM7|TM7-3|CW040|F16	0	0.000389456	0.001400441	6.97593E-05	0	0	0	2.17009E-05	0.000508199	3.07248E-05	0.000723218	0.000135362	0.000706644	0	0	0.00025501	0.001426923	0.001024338	0	6.92857E-05	0	0	0.000415191	0	0	1.91928E-05	0.000111179	6.91404E-05	9.96214E-05	0	0.001572536	0	0.001835006	0	0.001046875	0.00026328	0	0	0	0.000177302	0.000254837	7.198E-05	0	0	0.003680324	3.53632E-05	0.001039638
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	0.039984157	0.020313205	0.022424129	0.019276828	0.021813418	0.006756166	0.013815393	0.036153729	0.036725844	0.022736351	0.0122947	0.042260003	0.034017077	0.015911787	0.056993368	0.023630916	0.039680612	0.013904433	0.021824867	0.034804499	0.015846665	0.046211278	0.068644977	0.018283493	0.013914054	0.020804944	0.022624937	0.117722978	0.00966328	0.009432302	0.030749702	0.01346641	0.014836216	0.021819164	0.020109375	0.031082546	0.041280952	0.032408113	0.017731972	0.017488435	0.02830515	0.029637761	0.035083921	0.015760792	0.01533062	0.061779475	0.053071058
Bacteria|Proteobacteria|Alphaproteobacteria|RF32	0.000673334	0.000122986	0.000529435	0.000255784	1.89847E-05	0.000677803	0.000468886	0.000499121	0.000372679	9.21744E-05	0.000116648	0.000270724	5.8887E-05	0.00048852	0.000839939	0.000170007	7.59002E-05	0.001308876	0.00017792	0.000161667	0.000970204	9.27472E-05	0.003252333	3.96605E-05	0.000170934	0.000326277	0.000416921	0.000368749	6.64143E-05	0.000193573	0.000985203	0.001104741	0.000331863	0.000911946	0.000203125	0.000449125	0.00054248	0.000419399	0.001760394	0.000967102	0.001438011	0.00061183	0.001053528	0.002434174	0.000146238	0.000618856	0.002953893
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|mucosae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
