OTU_ID,Filtered because
vOTU_8515,sample was not significant in 181 samples (1) > 0.99
vOTU_96619,sample was not significant in 181 samples (1) > 0.99
vOTU_23692,sample was not significant in 181 samples (1) > 0.99
vOTU_47072,sample was not significant in 181 samples (1) > 0.99
vOTU_17689,sample was not significant in 181 samples (1) > 0.99
vOTU_33796,sample was not significant in 181 samples (1) > 0.99
vOTU_125283,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_33477,sample was not significant in 181 samples (1) > 0.99
vOTU_42885,sample was not significant in 181 samples (1) > 0.99
vOTU_69507,sample was not significant in 181 samples (1) > 0.99
vOTU_53932,sample was not significant in 181 samples (1) > 0.99
vOTU_4092,sample was not significant in 181 samples (1) > 0.99
vOTU_28718,sample was not significant in 181 samples (1) > 0.99
vOTU_87795,sample was not significant in 181 samples (1) > 0.99
vOTU_733,sample was not significant in 181 samples (1) > 0.99
vOTU_134096,sample was not significant in 181 samples (1) > 0.99
vOTU_40956,sample was not significant in 181 samples (1) > 0.99
vOTU_16668,sample was not significant in 181 samples (1) > 0.99
vOTU_16359,sample was not significant in 181 samples (1) > 0.99
vOTU_63967,sample was not significant in 181 samples (1) > 0.99
vOTU_75112,sample was not significant in 181 samples (1) > 0.99
vOTU_9800,sample was not significant in 181 samples (1) > 0.99
vOTU_814,sample was not significant in 181 samples (1) > 0.99
vOTU_82380,sample was not significant in 181 samples (1) > 0.99
vOTU_4826,sample was not significant in 181 samples (1) > 0.99
vOTU_37940,sample was not significant in 181 samples (1) > 0.99
vOTU_81776,sample was not significant in 181 samples (1) > 0.99
vOTU_9120,sample was not significant in 181 samples (1) > 0.99
vOTU_2911,sample was not significant in 181 samples (1) > 0.99
vOTU_3381,sample was not significant in 181 samples (1) > 0.99
vOTU_48889,sample was not significant in 181 samples (1) > 0.99
vOTU_67027,sample was not significant in 181 samples (1) > 0.99
vOTU_101207,sample was not significant in 181 samples (1) > 0.99
vOTU_75359,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_96208,sample was not significant in 181 samples (1) > 0.99
vOTU_1327,sample was not significant in 181 samples (1) > 0.99
vOTU_22412,sample was not significant in 181 samples (1) > 0.99
vOTU_15046,sample was not significant in 181 samples (1) > 0.99
vOTU_45897,sample was not significant in 181 samples (1) > 0.99
vOTU_5596,sample was not significant in 181 samples (1) > 0.99
vOTU_32680,sample was not significant in 181 samples (1) > 0.99
vOTU_69438,sample was not significant in 181 samples (1) > 0.99
vOTU_12024,sample was not significant in 181 samples (1) > 0.99
vOTU_3021,sample was not significant in 181 samples (1) > 0.99
vOTU_56176,sample was not significant in 181 samples (1) > 0.99
vOTU_52645,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_66816,sample was not significant in 181 samples (1) > 0.99
vOTU_549,sample was not significant in 181 samples (1) > 0.99
vOTU_10541,sample was not significant in 181 samples (1) > 0.99
vOTU_30360,sample was not significant in 181 samples (1) > 0.99
vOTU_55384,sample was not significant in 181 samples (1) > 0.99
vOTU_786,sample was not significant in 181 samples (1) > 0.99
vOTU_79233,sample was not significant in 181 samples (1) > 0.99
vOTU_75775,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_121014,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_50318,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_48841,sample was not significant in 181 samples (1) > 0.99
vOTU_14027,sample was not significant in 181 samples (1) > 0.99
vOTU_1215,sample was not significant in 181 samples (1) > 0.99
vOTU_32996,sample was not significant in 181 samples (1) > 0.99
vOTU_104440,sample was not significant in 181 samples (1) > 0.99
vOTU_89747,sample was not significant in 181 samples (1) > 0.99
vOTU_18919,sample was not significant in 181 samples (1) > 0.99
vOTU_7399,sample was not significant in 181 samples (1) > 0.99
vOTU_73644,sample was not significant in 181 samples (1) > 0.99
vOTU_104737,sample was not significant in 181 samples (1) > 0.99
vOTU_103465,sample was not significant in 181 samples (1) > 0.99
vOTU_144964,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_3550,sample was not significant in 181 samples (1) > 0.99
vOTU_8307,sample was not significant in 181 samples (1) > 0.99
vOTU_321,sample was not significant in 181 samples (1) > 0.99
vOTU_47041,sample was not significant in 181 samples (1) > 0.99
vOTU_36999,sample was not significant in 181 samples (1) > 0.99
vOTU_1552,sample was not significant in 181 samples (1) > 0.99
vOTU_99918,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_145336,sample was not significant in 181 samples (1) > 0.99
vOTU_102175,sample was not significant in 181 samples (1) > 0.99
vOTU_90535,sample was not significant in 181 samples (1) > 0.99
vOTU_62605,sample was not significant in 181 samples (1) > 0.99
vOTU_5190,sample was not significant in 181 samples (1) > 0.99
vOTU_44121,sample was not significant in 181 samples (1) > 0.99
vOTU_1291,sample was not significant in 181 samples (1) > 0.99
vOTU_121611,sample was not significant in 181 samples (1) > 0.99
vOTU_106886,sample was not significant in 181 samples (1) > 0.99
vOTU_85283,sample was not significant in 181 samples (1) > 0.99
vOTU_48162,sample was not significant in 181 samples (1) > 0.99
vOTU_12686,sample was not significant in 181 samples (1) > 0.99
vOTU_798,sample was not significant in 181 samples (1) > 0.99
vOTU_14559,sample was not significant in 181 samples (1) > 0.99
vOTU_48564,sample was not significant in 181 samples (1) > 0.99
vOTU_6421,sample was not significant in 181 samples (1) > 0.99
vOTU_25626,sample was not significant in 181 samples (1) > 0.99
vOTU_3687,sample was not significant in 181 samples (1) > 0.99
vOTU_552,sample was not significant in 181 samples (1) > 0.99
vOTU_19483,sample was not significant in 181 samples (1) > 0.99
vOTU_6193,sample was not significant in 181 samples (1) > 0.99
vOTU_21673,sample was not significant in 181 samples (1) > 0.99
vOTU_2094,sample was not significant in 181 samples (1) > 0.99
vOTU_89596,sample was not significant in 181 samples (1) > 0.99
vOTU_1677,sample was not significant in 181 samples (1) > 0.99
vOTU_44639,sample was not significant in 181 samples (1) > 0.99
vOTU_30801,sample was not significant in 181 samples (1) > 0.99
vOTU_12723,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_2133,sample was not significant in 181 samples (1) > 0.99
vOTU_80319,sample was not significant in 181 samples (1) > 0.99
vOTU_4604,sample was not significant in 181 samples (1) > 0.99
vOTU_137428,sample was not significant in 181 samples (1) > 0.99
vOTU_47191,sample was not significant in 181 samples (1) > 0.99
vOTU_7564,sample was not significant in 181 samples (1) > 0.99
vOTU_99068,sample was not significant in 181 samples (1) > 0.99
vOTU_476,sample was not significant in 181 samples (1) > 0.99
vOTU_67384,sample was not significant in 181 samples (1) > 0.99
vOTU_121873,sample was not significant in 181 samples (1) > 0.99
vOTU_1206,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_28684,sample was not significant in 181 samples (1) > 0.99
